rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
154,128,128,,no,no,Alina Korneeva,18,RUS,RUS,456,,+3,Oeiras R32 470 580,,,yes
155,143,143,,no,no,Despina Papamichail,33,GRE,GRE,451,,+4,,,,no
156,152,152,,no,no,Elvina Kalieva,22,USA,USA,449,-4,-18,,,,no
157,4,4,,no,no,Bianca Andreescu,25,CAN,CAN,443,,+4,,,,no
158,147,147,,no,no,Emerson Jones,17,AUS,AUS,443,+4,+1,Brisbane 2 R32 451 517,,,yes
159,105,105,,no,no,Whitney Osuigwe,23,USA,USA,440,+1,-4,,,,no
160,150,150,,no,no,Iryna Shymanovich,28,BLR,BLR,438,-6,-25,Oeiras R32 451 561,,,yes
161,159,159,,no,no,Polina Iatcenko,22,RUS,RUS,437,,+2,Pune R32 444 510,,,yes
162,142,142,,no,no,Alina Charaeva,23,RUS,RUS,433,,+2,,,,no
163,104,104,,no,no,Jessika Ponchet,29,FRA,FRA,431,,+2,,,,no
164,150,150,,no,no,Nuria Brancaccio,25,ITA,ITA,430,,+2,Antalya 6 R32,,,yes
165,108,108,,no,no,Ekaterine Gorgodze,34,GEO,GEO,418,,+3,,Lost in Qual. Doha R1,,no
166,NCH (168),166,168,yes,yes,Guiomar Maristany,26,ESP,ESP,415,,+3,,,,no
167,97,97,,no,no,Elizabeth Mandlik,24,USA,USA,413,,+4,,,,no
168,NCH (173),168,173,yes,yes,Carol Lee,24,USA,USA,409,,+5,,,,no
169,NCH (171),169,171,yes,yes,Teodora Kostović,18,SRB,SRB,404,,+5,,,,no
170,167,167,,no,no,Anouk Koevermans,22,NED,NED,402,,-13,,,,no
171,58,58,,no,no,Louisa Chirico,29,USA,USA,399,+1,-13,,,,no
172,27,27,,no,no,Bernarda Pera,31,USA,USA,398,,+4,,,,no
173,21,21,,no,no,Jil Teichmann,28,SUI,SUI,396,,+4,,,,no
174,70,70,,no,no,Harriet Dart,29,GBR,GBR,394,,+4,Pune R32 402 468,,,yes
175,82,82,,no,no,Aoi Ito,21,JPN,JPN,391,-8,-30,,,,no
176,158,158,,no,no,Carole Monnet,24,FRA,FRA,388,,+3,Oeiras R32 402 512,,,yes
177,36,36,,no,no,Elina Avanesyan,23,ARM,ARM,387,-19,-64,Oeiras R32 401 511,,,yes
178,83,83,,no,no,Olivia Gadecki,23,AUS,AUS,387,,+2,,,,no
179,83,83,,no,no,Anca Todoni,21,ROU,ROU,387,,+2,,,,no
180,170,170,,no,no,Lina Gjorcheska,31,MKD,MKD,387,,+2,,,,no
181,11,11,,no,no,Anastasija Sevastova,35,LAT,LAT,385,,+2,,,,no
182,NCH (185),182,185,yes,yes,Mary Stoiana,22,USA,USA,383,,+3,,,,no
183,168,168,,no,no,Hanyu Guo,27,CHN,CHN,382,,+3,,,,no
184,93,93,,no,no,Julia Riera,23,ARG,ARG,382,,+3,,,,no
185,155,155,,no,no,Gabriela Knutson,28,CZE,CZE,382,,+3,,,,no
186,NCH (187),186,187,yes,yes,Yeon Woo Ku,22,KOR,KOR,380,,+3,,,,no
187,140,140,,no,no,Tatiana Prozorova,22,RUS,RUS,379,+10,+7,Pune R16 386 445,,,yes
188,121,121,,no,no,Anastasia Gasanova,26,RUS,RUS,379,-13,-22,,,,no
189,84,84,,no,no,Astra Sharma,30,AUS,AUS,378,,+1,,,,no
190,177,177,,no,no,Ye-Xin Ma,26,CHN,CHN,376,,+1,Brisbane 2 R32 379 445,,,yes
191,168,168,,no,no,Elena Pridankina,20,RUS,RUS,374,,+1,Pune R32 374 440,,,yes
192,191,191,,no,no,Lisa Pigato,22,ITA,ITA,374,,+1,,,,no
193,84,84,,no,no,Kayla Day,26,USA,USA,373,,+2,,,,no
194,173,173,,no,no,Ana Sofía Sánchez,31,MEX,MEX,373,,+2,,,,no
195,CH,195,,yes,no,Kayla Cross,20,CAN,CAN,372,,+3,,,,no
196,191,191,,no,no,Alice Ramé,28,FRA,FRA,368,,+4,,,,no
197,116,116,,no,no,Ena Shibahara,27,JPN,JPN,365,,+4,Brisbane 2 R32 373 439,,,yes
198,NCH (202),198,202,yes,yes,Fiona Crawley,24,USA,USA,361,,+4,Oeiras R32 375 485,,,yes
199,25,25,,no,no,Anhelina Kalinina,29,UKR,UKR,360,,-9,Oeiras R32 374 484,,,yes
200,182,182,,no,no,Cadence Brace,20,CAN,CAN,360,,+3,Advertisement,,,yes
201,56,56,,no,no,Nao Hibino,31,JPN,JPN,357,+3,-1,Brisbane 2 R32 365 431,,,yes
202,45,45,,no,no,Anna-Lena Friedsam,32,GER,GER,356,-18,-28,Oeiras R32 370 480,,,yes
203,CH,203,,yes,no,Silvia Ambrosio,29,ITA,ITA,351,,+3,,,,no
204,174,174,,no,no,Andrea Lazáro García,31,ESP,ESP,350,,+3,,,,no
205,23,23,,no,no,Mona Barthel,35,GER,GER,347,,+3,,,,no
206,168,168,,no,no,Miriam Bulgaru,27,ROU,ROU,346,,+3,,,,no
207,105,105,,no,no,Marina Bassols Ribera,26,ESP,ESP,344,,+3,Grenoble R32 344 386,,,yes
208,100,100,,no,no,Mananchaya Sawangkaew,23,THA,THA,343,+4,+1,Pune R32 351 417,,,yes
209,97,97,,no,no,Jana Fett,29,CRO,CRO,340,,+5,,,,no
210,97,97,,no,no,Arina Rodionova,36,AUS,AUS,340,+5,+1,,Lost in Qual. Doha R1,,no
211,201,201,,no,no,Laura Samson,17,CZE,CZE,339,,+5,,,,no
212,52,52,,no,no,Claire Liu,25,USA,USA,338,,+6,,,,no
213,100,100,,no,no,Laura Pigossi,31,BRA,BRA,338,,+6,,,,no
214,96,96,,no,no,Chloé Paquet,31,FRA,FRA,334,,+6,,,,no
215,176,176,,no,no,Francisca Jorge,25,POR,POR,334,+2,-5,Oeiras R32 348 458,,,yes
216,214,214,,no,no,Jazmin Ortenzi,24,ARG,ARG,333,,+5,,,,no
217,43,43,,no,no,Viktória Hrunčáková,27,SVK,SVK,331,-12,-27,,,,no
218,105,105,,no,no,Mai Hontama,26,JPN,JPN,326,,+4,,,,no
219,171,171,,no,no,Barbora Palicová,21,CZE,CZE,324,,+4,,,,no
220,201,201,,no,no,Camilla Rosatello,30,ITA,ITA,323,,+4,Grenoble R32 328 372,,,yes
221,20,20,,no,no,Daria Saville,31,AUS,AUS,321,-8,-20,,,,no
222,218,218,,no,no,Sada Nahimana,24,BDI,BDI,319,,+4,Grenoble R32 323 367,,,yes
223,49,49,,no,no,Xiyu Wang,24,CHN,CHN,315,,+4,,,,no
224,145,145,,no,no,Tara Würth,23,CRO,CRO,311,,+4,,,,no
225,88,88,,no,no,Aliona Bolsova,28,ESP,ESP,310,,+4,Oeiras R32 321 431,,,yes
226,153,153,,no,no,Kathinka von Deichmann,31,LIE,LIE,306,,+4,,,,no
227,NCH (233),227,233,yes,yes,Elizara Yaneva,18,BUL,BUL,303,,+6,,,,no
228,90,90,,no,no,Harmony Tan,28,FRA,FRA,302,,+6,Grenoble R32 305 349,,,yes
229,165,165,,no,no,Carolina Alves,29,BRA,BRA,302,+2,-4,,,,no
230,114,114,,no,no,Storm Hunter,31,AUS,AUS,299,+21,+20,,Lost in Qual. Doha R2,,no
231,222,222,,no,no,Caroline Werner,29,GER,GER,295,,+5,,,,no
232,203,203,,no,no,Hina Inoue,22,USA,USA,290,,+7,,,,no
233,230,230,,no,no,Mingge Xu,18,GBR,GBR,289,,+7,,,,no
234,164,164,,no,no,Susan Bandecchi,27,SUI,SUI,289,-2,-14,,,,no
235,39,39,,no,no,Fiona Ferro,28,FRA,FRA,288,,+6,,,,no
236,220,220,,no,no,Luisina Giovannini,19,ARG,ARG,288,,+6,Antalya 6 R32,,,yes
237,172,172,,no,no,Carson Branstine,25,CAN,CAN,287,-43,-86,,,,no
238,214,214,,no,no,Angela Fita Boluda,26,ESP,ESP,286,,+5,,Lost in Qual. Oeiras R1,,no
239,152,152,,no,no,Raluca Șerban,28,CYP,CYP,285,,+5,,,,no
240,205,205,,no,no,Jessica Pieri,28,ITA,ITA,285,,+5,,,,no
241,150,150,,no,no,Sara Saito,19,JPN,JPN,283,,+5,Brisbane 2 R32 291 357,,,yes
242,38,38,,no,no,Rebecca Marino,35,CAN,CAN,282,,+5,,,,no
243,NCH (249),243,249,yes,yes,Ayana Akli,24,USA,USA,280,,+6,Grenoble R32 283 327,,,yes
244,NCH (250),244,250,yes,yes,Veronika Podrez,19,UKR,UKR,280,,+6,Grenoble R32 285 329,,,yes
245,207,207,,no,no,Irene Burillo,28,ESP,ESP,279,,+7,,,,no
246,237,237,,no,no,Amarissa Tóth,22,HUN,HUN,279,-9,-14,Antalya 6 R32,,,yes
247,196,196,,no,no,Justina Mikulskytė,30,LTU,LTU,278,,+6,Grenoble R32 280 324,,,yes
248,236,236,,no,no,Anna Sisková,24,CZE,CZE,277,,+8,,,,no
249,135,135,,no,no,Arianne Hartono,29,NED,NED,276,,+8,,,,no
250,45,45,,no,no,Nuria Párrizas Díaz,34,ESP,ESP,276,+12,+5,**Qual. Oeiras W** Advertisement,,,yes
251,166,166,,no,no,Xiaodi You,29,CHN,CHN,275,,+7,,,,no
252,176,176,,no,no,Manon Léonard,25,FRA,FRA,274,-14,-18,Grenoble R32 278 322,,,yes
253,209,209,,no,no,Eva Vedder,26,NED,NED,274,+1,-4,,,,no
254,142,142,,no,no,Noma Noha Akugue,22,GER,GER,274,,+5,**Qual. Oeiras W**,,,yes
255,NCH (260),255,260,yes,yes,Sohyun Park,23,KOR,KOR,274,,+5,Pune R32 279 345,,,yes
256,151,151,,no,no,Anastasia Tikhonova,25,RUS,RUS,273,,+5,,,,no
257,2,2,,no,no,Ons Jabeur,31,TUN,TUN,272,-111,-215,,,,no
258,169,169,,no,no,Clervie Ngounoue,19,USA,USA,271,-33,-50,,,,no
259,153,153,,no,no,Séléna Janicijevic,23,FRA,FRA,271,-24,-27,,,,no
260,125,125,,no,no,Xinyu Gao,28,CHN,CHN,271,,+3,,,,no
261,221,221,,no,no,Eva Guerrero Álvarez,26,ESP,ESP,271,,+3,,,,no
262,246,246,,no,no,Kajsa Rinaldo Persson,28,SWE,SWE,271,-14,-10,,,,no
263,188,188,,no,no,Julia Avdeeva,23,RUS,RUS,270,-52,-74,,,,no
264,233,233,,no,no,Julie Belgraver,23,FRA,FRA,269,,+2,Grenoble R32 272 316,,,yes
265,197,197,,no,no,Anastasiya Soboleva,21,UKR,UKR,266,,+2,,,,no
266,136,136,,no,no,Katherine Sebov,27,CAN,CAN,265,,+2,,,,no
267,118,118,,no,no,Katie Swan,26,GBR,GBR,260,,+2,,,,no
268,132,132,,no,no,Yuriko Miyazaki,30,GBR,GBR,254,-3,-16,,,,no
269,266,266,,no,no,Mia Ristić,19,SRB,SRB,254,,+1,Grenoble R32 254 296,,,yes
270,119,119,,no,no,Lizette Cabrera,28,AUS,AUS,253,,+1,Brisbane 2 R32 258 324,,,yes
271,121,121,,no,no,Celine Naef,20,SUI,SUI,252,,+1,Grenoble R32 257 301,,,yes
272,CH,272,,yes,no,Dalila Spiteri,28,ITA,ITA,249,,+1,,,,no
273,206,206,,no,no,Tyra Grant,17,ITA,ITA,247,,+1,Grenoble R32 252 296,,,yes
274,196,196,,no,no,Lucie Havlíčková,20,CZE,CZE,245,,+2,,,,no
