rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
738,468,468,,no,no,Merel Hoedt,26,NED,NED,52,,+2,Qual. Knokke Heist R1,Qual. Gentofte W,,yes
739,565,565,,no,no,Alyssa Réguer,20,FRA,FRA,52,,+2,Qual. Maspalomas R1,Lost in Las Palmas De Gran Canaria R32,,yes
740,695,695,,no,no,Kristina Novak,25,SLO,SLO,51,,+2,Las Palmas De Gran Canaria F,,,yes
741,732,732,,no,no,Gyeong Seo Lee,21,KOR,KOR,51,+8,+2,,Qual. Horb W,,no
742,471,471,,no,no,Monique Barry,24,NZL,NZL,50,+11,+2,,Lost in Qual. Cordenons R2,,no
743,NCH,743,747,yes,yes,Ha Eum Lee,18,KOR,KOR,50,+8,+1,,Lost in Luan 6 R16,,no
744,701,701,,no,no,Polina Kuharenko,18,BLR,BLR,50,-37,-6,,,,no
745,738,738,,no,no,Yingqun Sun,20,CHN,CHN,50,-7,-2,,Lost in Luan 6 R16,,no
746,130,130,,no,no,Usue Maitane Arconada,27,USA,USA,49,,+1,,,,no
747,644,644,,no,no,Stefani Webb,21,AUS,AUS,49,+9,+2,,Lost in Brisbane 3 QF,,no
748,727,727,,no,no,Maya Iyengar,19,USA,USA,49,-14,-3,,Lost in Dallas R32,,no
749,680,680,,no,no,Mia Horvit,29,USA,USA,49,+19,+3,,Lost in Krsko QF,,no
750,CH,750,,yes,no,Shruti Ahlawat,20,IND,IND,49,,,,Lost in Astana 2 R32,,no
751,175,175,,no,no,Peangtarn Plipuech,33,THA,THA,48,,+1,,,,no
752,675,675,,no,no,Anamaria Oana,19,ROU,ROU,48,,+2,,,,no
753,713,713,,no,no,Vlada Mincheva,19,RUS,RUS,48,+11,+1,,Lost in Monastir 29 R16,,no
754,741,741,,no,no,Madelief Hageman,23,NED,NED,48,+56,+7,,Qual. Horb W,,no
755,337,337,,no,no,Yuliana Lizarazo,33,COL,COL,47,,+2,,,,no
756,702,702,,no,no,Yiming Dang,21,CHN,CHN,47,-52,-9,,,,no
757,317,317,,no,no,Ashley Lahey,26,USA,USA,47,-46,-8,,Lost in Dallas R32,,no
758,367,367,,no,no,Ayumi Koshiishi,25,JPN,JPN,47,,,,,,no
759,422,422,,no,no,Ani Amiraghyan,32,ARM,ARM,47,,,,,,no
760,CH,760,,yes,no,Kanon Sawashiro,17,JPN,JPN,47,,,,,,no
761,728,728,,no,no,Jimar Gerald Gonzalez,24,CHI,CHI,47,-16,-3,,Lost in São Paulo R32,,no
762,353,353,,no,no,Mayu Crossley,20,JPN,JPN,47,,-1,,Lost in Santa Fe QF,,no
763,486,486,,no,no,Nina Radovanovic,22,FRA,FRA,47,+15,+119,Kursumlijska Banja 11 F,Kursumlijska Banja 10 W,,yes
764,374,374,,no,no,Valeriya Yushchenko,27,RUS,RUS,47,,-1,,,,no
765,525,525,,no,no,Ayumi Miyamoto,25,JPN,JPN,47,-19,-3,,,,no
766,633,633,,no,no,Kateryna Lazarenko,21,UKR,UKR,47,,-1,,,,no
767,682,682,,no,no,Rose Marie Nijkamp,20,NED,NED,47,+36,+5,,Lost in Krsko SF,,no
768,NCH,768,770,yes,yes,Ella Haavisto,24,FIN,FIN,47,+6,+1,,Lost in Krsko R16,,no
769,470,470,,no,no,Dasha Plekhanova,22,CAN,CAN,46,,-3,,Lost in Saskatoon R16,,no
770,767,767,,no,no,Kristina Penickova,16,USA,USA,46,,-3,,Lost in Santa Fe R32,,no
771,755,755,,no,no,Charo Esquiva Banuls,18,ESP,ESP,46,+20,+172,,Lost in Horb SF,,no
772,583,583,,no,no,Eva Maria Ionescu,19,ROU,ROU,46,,-3,,,,no
773,656,656,,no,no,Giulia Safina Popa,16,ROU,ROU,46,,-3,,Lost in Cluj Napoca R16,,no
774,607,607,,no,no,Honoka Kobayashi,26,JPN,JPN,46,,-3,,,,no
775,430,430,,no,no,Karine Sarkisova,28,RUS,RUS,46,,-3,,,,no
776,767,767,,no,no,Xi Luo,18,CHN,CHN,46,,-3,,,,no
777,4,4,,no,no,Caroline Garcia,32,FRA,FRA,45,,-2,,,,no
778,27,27,,no,no,Bernarda Pera,31,USA,USA,45,,-2,,,,no
779,562,562,,no,no,Adelina Lachinova,18,LAT,LAT,45,,-2,,,,no
780,328,328,,no,no,Lian Tran,24,NED,NED,45,+9,+2,,Qual. Horb W,,no
781,727,727,,no,no,Meng Yi Chen,23,CHN,CHN,45,,-3,,,,no
782,NCH,782,924,yes,yes,Kali Šupová,16,SVK,SVK,45,+17,+142,,Qual. Amstetten W,,no
783,777,777,,no,no,Ulyana Hrabavets,17,BLR,BLR,45,,-4,,Lost in Kursumlijska Banja 11 R16,,no
784,770,770,,no,no,Coco Bosman,23,NED,NED,45,,-4,Qual. Dublin R1,Lost in Monastir 29 R32,,yes
785,356,356,,no,no,Nagi Hanatani,31,JPN,JPN,45,,-4,,Lost in Qual. Gentofte R1,,no
786,782,782,,no,no,Olga Danilova,18,CYP,CYP,45,,-4,Qual. Dublin R1,,,yes
787,578,578,,no,no,Marta Soriano Santiago,20,ESP,ESP,45,,-4,,Lost in Nogent sur Marne R16,,no
788,781,781,,no,no,Yushan Shao,17,CHN,CHN,44,,-4,,,,no
789,124,124,,no,no,Georgina García Pérez,34,ESP,ESP,44,+1,+1,,Lost in Qual. Hamburg R1,,no
790,317,317,,no,no,María Fernanda Herazo,29,COL,COL,44,+44,+7,,Lost in São Paulo R16,,no
791,700,700,,no,no,Carmen Lopez Martinez,21,ESP,ESP,44,,-6,,,,no
792,NCH,792,795,yes,yes,Alja Senica,18,SLO,SLO,44,+6,+2,,Lost in Krsko R16,,no
793,550,550,,no,no,Sarah Iliev,19,FRA,FRA,44,-38,-4,,Lost in Qual. Torino R2,,no
794,754,754,,no,no,Shiho Tsujioka,19,JPN,JPN,44,,-7,,,,no
795,338,338,,no,no,Riya Bhatia,28,IND,IND,43,,-7,,,,no
796,530,530,,no,no,Mariella Thamm,16,GER,GER,43,-98,-15,,,,no
797,791,791,,no,no,Deniz Dilek,19,TUR,TUR,43,,-6,,,,no
798,789,789,,no,no,Luna Maria Cinalli,18,ARG,ARG,43,,-6,,,,no
799,NCH,799,823,yes,yes,Jo-Yee Chan,22,USA,USA,43,+24,+5,,Qual. Dallas W,,no
800,735,735,,no,no,Petra Konjikušić,19,SRB,SRB,43,+73,+10,,Lost in Kursumlijska Banja 10 F,,no
801,755,755,,no,no,Laima Vladson,18,UZB,UZB,43,,-7,,,,no
802,CH,802,,yes,no,Isabella Barrera Aguirre,23,USA,USA,43,+13,+3,,Lost in São Paulo R32,,no
803,320,320,,no,no,Meiling Wang,26,CHN,CHN,42,,-8,,,,no
804,796,796,,no,no,Duru Soke,20,TUR,TUR,42,,-8,,,,no
805,797,797,,no,no,Arina Arifullina,20,RUS,RUS,42,,-8,,,,no
806,361,361,,no,no,Johanne Svendsen,22,DEN,DEN,42,,-7,,Lost in Gentofte SF,,no
807,691,691,,no,no,Anne Christine Lutkemeyer Obregon,22,USA,USA,42,-70,-10,,Lost in Santa Fe R32,,no
808,764,764,,no,no,Ava Hrastar,24,USA,USA,42,,-7,,,,no
809,348,348,,no,no,Kamilla Bartone,24,LAT,LAT,42,,-7,,,,no
810,794,794,,no,no,Maria Oliver Sanchez,26,ESP,ESP,42,,-6,Qual. Maspalomas R1,,,yes
811,805,805,,no,no,Diana-Ioana Simionescu,18,ROU,ROU,42,,-6,,Lost in Cluj Napoca R32,,no
812,796,796,,no,no,Lorena Solar Donoso,19,ESP,ESP,42,,-5,Qual. Maspalomas R1,Lost in Las Palmas De Gran Canaria R32,,yes
813,565,565,,no,no,Ellie Schoppe,24,USA,USA,41,,-5,Qual. Vancouver R2,Lost in Santa Fe R32,,yes
814,NCH,814,939,yes,yes,Kamonwan Yodpetch,18,THA,THA,41,+14,+125,,Astana 2 W,,no
815,NCH,815,825,yes,yes,Sara Mikača,23,BIH,BIH,41,+10,+3,,Lost in Krsko R16,,no
816,451,451,,no,no,Julia Stamatova,33,BUL,BUL,41,,-7,,Lost in Qual. Amstetten R1,,no
817,31,31,,no,no,Zarina Diyas,32,KAZ,KAZ,40,-39,-220,,,,no
818,708,708,,no,no,Brooke Black,18,GBR,GBR,40,,-7,,,,no
819,745,745,,no,no,Tiana Tian Deng,18,SWE,SWE,40,,-7,,,,no
820,818,818,,no,no,Aishi Das,18,NZL,NZL,40,-2,+1,,Lost in Brisbane 3 R16,,no
821,740,740,,no,no,Berta Passola,21,ESP,ESP,40,,-8,,,,no
822,376,376,,no,no,Luisa Meyer Auf Der Heide,24,GER,GER,40,-36,-4,,,,no
823,785,785,,no,no,Lauryn John-Baptiste,27,GBR,GBR,40,,-9,,,,no
824,NCH,824,861,yes,yes,Zuzanna Kolonus,21,POL,POL,40,+37,+5,,Qual. Amstetten W,,no
825,NCH,825,860,yes,yes,Marjorie Souza,23,BRA,BRA,40,+35,+5,,Lost in São Paulo R16,,no
826,816,816,,no,no,Ru Xi Wu,17,CHN,CHN,39,,-10,,Lost in Qual. Luan 6 R3,,no
827,817,817,,no,no,Liv Boulard,18,FRA,FRA,39,,-10,Qual. Maspalomas R1,Lost in Las Palmas De Gran Canaria R16,,yes
828,494,494,,no,no,Lavinia Tanasie,22,ROU,ROU,39,+12,+106,,Qual. Cordenons W,,no
829,371,371,,no,no,Eliz Maloney,25,GBR,GBR,39,,-9,Qual. Dublin R1,,,yes
830,817,817,,no,no,Amy Stevens,23,AUS,AUS,39,,-9,,Lost in Brisbane 3 R32,,no
831,781,781,,no,no,Maria Toma,27,ROU,ROU,39,+13,+2,,Qual. Horb W,,no
832,716,716,,no,no,Edda Mamedova,19,RUS,RUS,38,,-10,,Lost in Astana 2 R32,,no
833,186,186,,no,no,Ya-Hsuan Lee,31,TWN,TWN,38,,-9,,,,no
834,708,708,,no,no,Linda Ševčíková,28,CZE,CZE,38,,-3,,,,no
835,601,601,,no,no,Jiangxue Han,24,CHN,CHN,38,,-3,,,,no
836,648,648,,no,no,Christasha McNeil,19,USA,USA,37,+68,+8,,Lost in Dallas QF,,no
837,150,150,,no,no,Hiroko Kuwata,35,JPN,JPN,37,,-4,,Lost in Qual. Vancouver R1,,no
838,463,463,,no,no,İlay Yörük,24,TUR,TUR,37,,-3,,,,no
839,331,331,,no,no,Georgia Crăciun,27,ROU,ROU,37,,-3,,Lost in Cluj Napoca QF,,no
840,837,837,,no,no,Mia Slama,20,USA,USA,37,,-3,,,,no
841,111,111,,no,no,Françoise Abanda,29,CAN,CAN,37,,-3,,,,no
842,834,834,,no,no,Capucine Jauffret,18,USA,USA,37,,-3,,Lost in Qual. Dallas R1,,no
843,829,829,,no,no,Yuhan Liu,22,CHN,CHN,37,,-3,,,,no
844,569,569,,no,no,Salma Drugdová,21,SVK,SVK,37,,-3,,Lost in Qual. Amstetten R2,,no
845,531,531,,no,no,Arina Vasilescu,29,ROU,ROU,37,-18,-1,,,,no
846,831,831,,no,no,Amelia Paszun,18,POL,POL,37,,-4,,,,no
847,828,828,,no,no,Meritxell Teixido Garcia,19,ESP,ESP,37,-19,-1,,Lost in Las Palmas De Gran Canaria R16,,no
848,330,330,,no,no,Ksenia Laskutova,29,RUS,RUS,37,,-5,,Lost in Astana 2 R32,,no
849,685,685,,no,no,Laura Svatíková,32,SVK,SVK,37,+37,+5,,Qual. Amstetten W,,no
850,10,10,,no,no,Kristina Mladenovic,33,FRA,FRA,36,,-5,,,,no
851,190,190,,no,no,Alice Robbe,26,FRA,FRA,36,,-4,,,,no
852,528,528,,no,no,Eszter Méri,23,SVK,SVK,36,,-4,,Lost in Qual. Amstetten R1,,no
853,749,749,,no,no,Laquisa Khan,23,AUS,AUS,36,,-3,,Lost in Brisbane 3 R32,,no
854,470,470,,no,no,Punnin Kovapitukted,23,THA,THA,36,-35,-3,,,,no
855,290,290,,no,no,Ariana Geerlings,20,ESP,ESP,36,,-4,Kursumlijska Banja 11 F,Lost in Kursumlijska Banja 10 R32,,yes
856,833,833,,no,no,Felitsata Dorofeeva-Rybas,16,RUS,RUS,36,,-4,,Lost in Kursumlijska Banja 11 R32,,no
857,853,853,,no,no,Sara Victoria Balan,17,ROU,ROU,36,,-4,,Lost in Cluj Napoca SF,,no
858,786,786,,no,no,Johanna Silva,28,GER,GER,36,+4,+1,,Lost in Qual. Horb R2,,no
859,690,690,,no,no,Elena Jamshidi,25,DEN,DEN,36,,-5,,Lost in Hillcrest 3 R16,,no
860,674,674,,no,no,Marie Villet,29,FRA,FRA,36,+3,+1,,Lost in Monastir 29 R16,,no
861,5,5,,no,no,Eugénie Bouchard,32,CAN,CAN,35,,-6,,,,no
862,188,188,,no,no,Sayaka Ishii,20,JPN,JPN,35,,-6,Qual. Aldershot R1,,,yes
863,330,330,,no,no,Nika Radišić,26,SLO,SLO,35,,-6,,,,no
864,555,555,,no,no,Camila Romero,27,ECU,ECU,35,-15,-1,,Lost in São Paulo R32,,no
865,NCH,865,958,yes,yes,Marilouise van Zyl,20,RSA,RSA,35,+93,+10,,Lost in Hillcrest 3 F,,no
866,865,865,,no,no,Jana Hossam Salah,19,EGY,EGY,35,-1,+1,,Lost in Hillcrest 3 R16,,no
867,NCH,867,875,yes,yes,Aspen Schuman,19,USA,USA,35,+43,+6,,Lost in Monastir 29 SF,,no
868,854,854,,no,no,Lisa Claeys,23,BEL,BEL,35,,-10,Qual. Knokke Heist R1,Lost in Nogent sur Marne R32,,yes
869,318,318,,no,no,Da-bin Kim,29,KOR,KOR,35,,-10,,,,no
870,725,725,,no,no,Onyu Choi,19,KOR,KOR,35,-44,-3,,Lost in Luan 6 R32,,no
871,196,196,,no,no,Diāna Marcinkēviča,33,LAT,LAT,35,-42,-3,,,,no
872,676,676,,no,no,Anita Sahdiieva,22,UKR,UKR,35,-42,-3,,Lost in Dallas R32,,no
873,802,802,,no,no,Anna Frey,18,USA,USA,34,,-9,,Lost in Saskatoon R32,,no
874,317,317,,no,no,Michaela Bayerlová,27,CZE,CZE,34,+24,+4,,Qual. Amstetten W,,no
875,850,850,,no,no,Suha Lee,17,KOR,KOR,34,,-9,,,,no
876,867,867,,no,no,Amélie Hejtmánek,18,CZE,CZE,34,,-9,,Qual. Gentofte W,,no
877,546,546,,no,no,Angelina Wirges,24,GER,GER,34,,-9,,,,no
878,213,213,,no,no,Eudice Chong,30,HKG,HKG,33,-32,-3,,,,no
879,584,584,,no,no,Nadiya Kolb,33,UKR,UKR,33,,-10,,,,no
880,802,802,,no,no,Maria Torres Murcia,23,COL,COL,33,-2,+1,,Qual. São Paulo W,,no
881,804,804,,no,no,Maia Ilinca Burcescu,16,ROU,ROU,33,,-11,,,,no
882,NCH,882,940,yes,yes,Francesca Mattioli,20,ITA,ITA,33,+17,+198,,Qual. São Paulo W,,no
883,833,833,,no,no,Chukwumelije Clarke,16,USA,USA,33,,-11,,Lost in Dallas R32,,no
884,787,787,,no,no,Amy Sucha,18,CZE,CZE,33,+8,+2,,Qual. Horb W,,no
885,841,841,,no,no,Carolin Raschdorf,19,GER,GER,33,,-11,,Lost in Qual. Horb R1,,no
886,842,842,,no,no,Paula Cembranos,22,SUI,SUI,33,,-11,,,,no
887,84,84,,no,no,Astra Sharma,30,AUS,AUS,32,-18,-143,,Lost in Qual. Memphis R1,,no
888,85,85,,no,no,Jodie Burrage,27,GBR,GBR,32,,-12,Qual. Dublin R1,,,yes
889,855,855,,no,no,Jizelle Sibai,16,AUS,AUS,32,,-10,,Lost in Brisbane 3 R32,,no
890,880,880,,no,no,Victoria Pohle,19,GER,GER,32,,-10,,Lost in Horb R32,,no
891,859,859,,no,no,Janae Preston,15,USA,USA,32,,-10,,,,no
892,883,883,,no,no,Emma Malmkjaer,22,DEN,DEN,32,,-9,,Lost in Gentofte R32,,no
893,873,873,,no,no,Maayan Laron,19,ISR,ISR,32,,-9,,,,no
894,809,809,,no,no,Klara Veldman,22,NED,NED,32,,-9,Qual. Knokke Heist R1,Lost in Nogent sur Marne R32,,yes
895,484,484,,no,no,Stefania Bojica,21,ROU,ROU,32,+31,+4,,Lost in Krsko R16,,no
