rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
77,38,38,,no,no,Alexandre Müller,29,FRA,FRA,715,-25,-305,,,,no
78,76,76,,no,no,Emilio Nava,24,USA,USA,710,,-2,,Lost in Rio de Janeiro R32,,no
79,21,21,,no,no,Jan Lennard Struff,35,GER,GER,706,,-2,,,,no
80,NCH (91),80,91,yes,yes,Ignacio Buse,21,PER,PER,698,+11,+50,Rio de Janeiro R16 748 1148,,,yes
81,45,45,,no,no,Yannick Hanfmann,34,GER,GER,695,+9,+42,,Lost in Rio de Janeiro R16 (R32 ),,no
82,54,54,,no,no,Francisco Comesaña,25,ARG,ARG,694,-19,-175,,Lost in Rio de Janeiro R32,,no
83,46,46,,no,no,James Duckworth,34,AUS,AUS,691,,-3,,,,no
84,27,27,,no,no,Miomir Kecmanović,26,SRB,SRB,685,-1,+15,Delray Beach R16 (R32 )710 910,,,yes
85,9,9,,no,no,Roberto Bautista Agut,37,ESP,ESP,685,,-3,,,,no
86,76,76,,no,no,Filip Misolic,24,AUT,AUT,671,-5,-16,,Lost in Lille R32,,no
87,74,74,,no,no,Adam Walton,26,AUS,AUS,669,+6,+26,Delray Beach R16,Lost in Qual. Delray Beach R2 Lost in Qual. Delray Beach R2 Delray Beach R16 694 894,,yes
88,30,30,,no,no,Matteo Arnaldi,24,ITA,ITA,665,,-3,,,,no
89,71,71,,no,no,Jesper de Jong,25,NED,NED,665,,-3,,Lost in Doha R32,,no
90,49,49,,no,no,Jacob Fearnley,24,GBR,GBR,662,-6,-6,,Lost in Lille R32,,no
91,48,48,,no,no,Aleksandar Vukic,29,AUS,AUS,656,,-3,,Lost in Qual. Doha R1,,no
92,45,45,,no,no,Alexander Shevchenko,25,KAZ,KAZ,656,-13,-40,,,,no
93,17,17,,no,no,Cristian Garín,29,CHI,CHI,656,,-4,,Lost in Rio de Janeiro R32,,no
94,58,58,,no,no,Hugo Gaston,25,FRA,FRA,619,,+2,,Lost in Lille R16,,no
95,NCH (102),95,102,yes,yes,Román Andrés Burruchaga,24,ARG,ARG,617,+7,+37,,Lost in Rio de Janeiro R16,,no
96,83,83,,no,no,Carlos Taberner,28,ESP,ESP,608,,+4,,,,no
97,NCH (102),97,102,yes,yes,Zachary Svajda,23,USA,USA,601,+9,+38,Delray Beach R16**Qual. Delray Beach W****Qual. Delray Beach W** Delray Beach R16 626 826,,,yes
98,3,3,,no,no,Stan Wawrinka,40,SUI,SUI,599,,-13,,,,no
99,36,36,,no,no,Pedro Martínez,28,ESP,ESP,586,,+2,,Lost in Rio de Janeiro R32,,no
100,95,95,,no,no,Alexander Blockx,20,BEL,BEL,570,,+4,Lille R16 578 687 Advertisement,,,yes
101,57,57,,no,no,Hamad Medjedović,22,SRB,SRB,565,-4,-50,,,,no
102,NCH (105),102,105,yes,yes,Patrick Kypson,26,USA,USA,565,,+3,,Lost in Delray Beach R32,,no
103,53,53,,no,no,Christopher O'Connell,31,AUS,AUS,561,-8,-65,,,,no
104,101,101,,no,no,Adolfo Daniel Vallejo,21,PAR,PAR,561,-1,-19,,Lost in Qual. Rio de Janeiro R1,,no
