rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
383,NCH (409),383,409,yes,yes,Michele Ribecai,23,ITA,ITA,122,+30,+7,Faro SF 130 139,,,yes
384,383,383,,no,no,Dan Martin,26,CAN,CAN,121,,-1,,Lost in Sherbrooke R16,,no
385,325,325,,no,no,Yankı Erel,25,TUR,TUR,121,-7,-3,Qual. Fujairah 1 R2 123 123,,,yes
386,180,180,,no,no,Yuta Shimizu,26,JPN,JPN,121,-26,-12,Fujairah 1 R32 125 171,,,yes
387,55,55,,no,no,Facundo Bagnis,36,ARG,ARG,120,,-1,,,,no
388,29,29,,no,no,Christopher Eubanks,29,USA,USA,120,,-1,,,,no
389,NCH (403),389,403,yes,yes,Lui Maxted,22,GBR,GBR,119,+14,+3,**Qual. Hersonissos 1 W**,Lost in Hersonissos 1 R32,,yes
390,150,150,,no,no,Oriol Roca Batalla,32,ESP,ESP,119,+8,+2,,Lost in Qual. Kigali 1 R2,,no
391,345,345,,no,no,Iñaki Montes De La Torre,23,ESP,ESP,119,-15,-6,,,,no
392,257,257,,no,no,Mili Poljičak,21,CRO,CRO,119,-4,-1,,,,no
393,17,17,,no,no,Albert Ramos Viñolas,38,ESP,ESP,118,,-2,,,,no
394,389,389,,no,no,Carlo Alberto Caniato,20,ITA,ITA,118,-5,-1,,Lost in Qual. Fujairah 1 R1,,no
395,CH,395,,yes,no,Stefan Palosi,26,ROU,ROU,118,,,,,,no
396,331,331,,no,no,Andrea Picchione,27,ITA,ITA,117,,+1,,,,no
397,347,347,,no,no,Samir Banerjee,22,USA,USA,116,,+4,,,,no
398,19,19,,no,no,Hyeon Chung,29,KOR,KOR,116,,+6,Fujairah 1 R32 120 166,,,yes
399,240,240,,no,no,Patrick Zahraj,26,GER,GER,116,-54,-24,,Lost in Qual. Thionville R1,,no
400,NCH (405),400,405,yes,yes,Thomas Faurel,20,FRA,FRA,116,,+5,Fujairah 1 R32 118 164,,,yes
401,303,303,,no,no,Arthur Weber,33,FRA,FRA,115,,+5,,Lost in Maanshan R32,,no
402,NCH (418),402,418,yes,yes,Andrea Guerrieri,27,ITA,ITA,115,+16,+3,,Lost in Trimbach QF,,no
403,298,298,,no,no,Aidan McHugh,25,GBR,GBR,114,+6,-1,,,,no
404,4,4,,no,no,Kei Nishikori,36,JPN,JPN,113,-69,-120,**Qual. Thionville W**,Lost in Thionville R16,,yes
405,399,399,,no,no,Luca Castelnuovo,29,SUI,SUI,113,-6,-4,,,,no
406,385,385,,no,no,Aryan Shah,20,IND,IND,113,,+10,,,,no
407,339,339,,no,no,Andrey Chepelev,27,RUS,RUS,113,+50,+13,Antalya 9 R16**Antalya 8 W**113 126,,,yes
408,NCH (417),408,417,yes,yes,Braden Shick,22,USA,USA,112,,+9,,Lost in Sherbrooke R32,,no
409,NCH (462),409,462,yes,yes,Ognjen Milić,18,SRB,SRB,112,+61,+17,**Sharm El Sheikh 5 W**,Lost in Sharm El Sheikh 6 QF,,yes
410,315,315,,no,no,Alfredo Perez,28,USA,USA,112,,-3,,,,no
411,280,280,,no,no,Jie Cui,28,CHN,CHN,112,+12,+1,,Lost in Maanshan R16,,no
412,CH,412,,yes,no,Alex Martinez,24,ESP,ESP,112,,-3,,,,no
413,270,270,,no,no,Corentin Denolly,28,FRA,FRA,112,-23,-7,,Lost in Kigali 1 R32,,no
414,346,346,,no,no,Kasidit Samrej,25,THA,THA,112,-14,-5,,Lost in Maanshan QF,,no
415,244,244,,no,no,Lucas Poullain,30,FRA,FRA,111,+6,-1,,,,no
416,342,342,,no,no,Luciano Emanuel Ambrogi,22,ARG,ARG,111,+14,+3,Yerba Buena SF 119 128,,,yes
417,299,299,,no,no,Vadym Ursu,29,UKR,UKR,111,+10,+1,,Lost in Pszczyna QF,,no
418,160,160,,no,no,Li Tu,29,AUS,AUS,109,-47,-17,,Lost in Burnie F Lost in Launceston QF,,no
419,306,306,,no,no,Blaise Bicknell,24,JAM,JAM,109,+56,+15,**San Jose 2 W**,,,yes
420,263,263,,no,no,Christoph Negritu,31,GER,GER,109,-50,-18,,,,no
421,146,146,,no,no,Rudolf Molleker,25,GER,GER,108,+10,+1,,Lost in Qual. Thionville R2,,no
422,357,357,,no,no,Luca Potenza,25,ITA,ITA,108,+3,-3,,Lost in Qual. Hersonissos 1 R2,,no
423,221,221,,no,no,Hernán Casanova,32,ARG,ARG,107,-15,-8,,,,no
424,NCH (426),424,426,yes,yes,Tommaso Compagnucci,26,ITA,ITA,107,,+8,,,,no
425,229,229,,no,no,Marek Gengel,30,CZE,CZE,107,+1,-3,Qual. Fujairah 1 R2 109 109,,,yes
426,421,421,,no,no,Hikaru Shiraishi,25,JPN,JPN,107,,+7,,,,no
427,NCH (433),427,433,yes,yes,Dali Blanch,23,USA,USA,107,,+7,,Lost in Villena 2 R16,,no
428,50,50,,no,no,Pavel Kotov,27,RUS,RUS,106,-26,-10,,Lost in Qual. Thionville R1,,no
429,185,185,,no,no,Aziz Dougaz,28,TUN,TUN,106,-37,-12,,,,no
430,271,271,,no,no,Pedro Sakamoto,32,BRA,BRA,106,-51,-18,**Qual. Brasilia W**,Lost in Brasilia R32,,yes
431,NCH (438),431,438,yes,yes,Juan Estevez,20,ARG,ARG,106,,+7,,Lost in Yerba Buena QF,,no
432,NCH (438),432,438,yes,yes,Andrew Fenty,25,USA,USA,106,+10,+1,,Lost in San Jose 2 QF,,no
433,382,382,,no,no,Federico Bondioli,20,ITA,ITA,106,,+7,,Lost in Sharm El Sheikh 6 QF,,no
434,136,136,,no,no,Alexey Vatutin,33,RUS,RUS,104,,+10,,,,no
435,409,409,,no,no,Alex Hernandez,26,MEX,MEX,104,-15,-8,,,,no
436,NCH (445),436,445,yes,yes,Jack Logé,21,BEL,BEL,104,,+9,,Lost in Qual. Hersonissos 1 R2,,no
437,167,167,,no,no,Laurent Lokoli,31,FRA,FRA,103,+11,+1,,Lost in Qual. Thionville R2,,no
438,334,334,,no,no,Kilian Feldbausch,20,SUI,SUI,103,-31,-12,,,,no
439,358,358,,no,no,Svyatoslav Gulin,23,RUS,RUS,103,-2,-3,,Lost in Qual. Hersonissos 1 R2 Lost in Hersonissos 1 R32,,no
440,356,356,,no,no,Miloš Karol,23,SVK,SVK,103,+9,+1,Monastir 12 SF**Qual. Monastir 11 W**,Lost in Monastir 11 R16 107 114,,yes
441,384,384,,no,no,Neil Oberleitner,26,AUT,AUT,103,+9,+1,,Lost in Qual. Thionville R2,,no
442,388,388,,no,no,Karan Singh,22,IND,IND,103,,+5,,,,no
443,39,39,,no,no,Radu Albot,36,MDA,MDA,102,-24,-10,,,,no
444,93,93,,no,no,Andrej Martin,36,SVK,SVK,101,,+9,,Lost in Kigali 1 R32,,no
445,127,127,,no,no,Jelle Sels,30,NED,NED,101,-41,-102,,Lost in Pszczyna QF Lost in Qual. Thionville R2 Lost in Thionville R32,,no
446,58,58,,no,no,Taro Daniel,33,JPN,JPN,100,,-3,,,,no
447,222,222,,no,no,Viktor Durasovic,28,NOR,NOR,100,,+8,,Lost in Hersonissos 1 R32,,no
448,NCH (460),448,460,yes,yes,Pietro Fellin,24,ITA,ITA,100,+16,+2,,Lost in San Jose 2 QF **Qual. Hersonissos 1 W** Lost in Hersonissos 1 R32,,no
449,287,287,,no,no,Marvin Möller,27,GER,GER,100,,+7,,,,no
450,416,416,,no,no,Étienne Donnet,25,FRA,FRA,99,+2,-2,,Lost in Monastir 11 R32 Lost in Poitiers R32,,no
451,NCH (454),451,454,yes,yes,Edward Winter,21,AUS,AUS,99,,+7,,,,no
452,424,424,,no,no,Cyril Vandermeersch,26,FRA,FRA,99,-28,-12,,,,no
453,321,321,,no,no,Robert Strombachs,26,LAT,LAT,99,-42,-16,,Lost in San Jose 2 QF,,no
454,NCH (459),454,459,yes,yes,Manas Dhamne,18,IND,IND,99,,+5,,,,no
455,219,219,,no,no,Nicolás Álvarez Varona,24,ESP,ESP,98,,+6,,,,no
456,383,383,,no,no,Lukáš Pokorný,24,SVK,SVK,97,-2,-4,,,,no
457,378,378,,no,no,Valerio Aboian,23,ARG,ARG,97,+5,-1,,Lost in Yerba Buena R16,,no
458,404,404,,no,no,Cannon Kingsley,24,USA,USA,97,,+7,,,,no
