rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
127,121,121,,no,no,Maja Chwalińska,24,POL,POL,618,+7,+25,,Lost in Antalya 2 QF,,no
128,116,116,,no,no,Tiantsoa Rakotomanga Rajaonah,20,FRA,FRA,602,,+1,,,,no
129,CH,129,,yes,no,Dominika Šálková,21,CZE,CZE,599,,+2,,Lost in Antalya 2 R32,,no
130,129,129,,no,no,Kaitlin Quevedo,20,ESP,ESP,591,+3,-6,,,,no
131,NCH,131,132,yes,yes,Himeno Sakatsume,24,JPN,JPN,588,+5,+32,,Qual. Indian Wells W,,no
132,117,117,,no,no,Joanna Garland,24,TWN,TWN,574,-4,-33,,Lost in Qual. Indian Wells R1,,no
133,94,94,,no,no,Priscilla Hon,27,AUS,AUS,572,-7,-55,,Lost in Qual. Indian Wells R2,,no
134,41,41,,no,no,Caroline Dolehide,27,USA,USA,571,-7,-50,,Lost in Qual. Indian Wells R1,,no
135,112,112,,no,no,Maddison Inglis,28,AUS,AUS,569,-3,-28,,Lost in Qual. Indian Wells R1,,no
136,41,41,,no,no,Arantxa Rus,35,NED,NED,560,,-1,,Lost in Antalya 2 R32,,no
137,112,112,,no,no,Katarzyna Kawa,33,POL,POL,559,+9,+43,Antalya 2 SF,,591,yes
138,137,137,,no,no,Alina Charaeva,23,RUS,RUS,554,-1,-1,,Lost in Antalya 2 R32,,no
139,31,31,,no,no,Lin Zhu,32,CHN,CHN,549,,,,,,no
140,137,137,,no,no,Lola Radivojevic,21,SRB,SRB,540,,+2,,Lost in Trnava 2 R16,,no
141,123,123,,no,no,Leyre Romero Gormaz,23,ESP,ESP,539,+3,+13,,Lost in Antalya 2 R16,,no
142,129,129,,no,no,Linda Klimovičová,21,POL,POL,537,,+1,,,,no
143,99,99,,no,no,Lucrezia Stefanini,27,ITA,ITA,536,-5,-14,,Lost in Qual. Indian Wells R1,,no
144,22,22,,no,no,Tamara Zidanšek,28,SLO,SLO,532,+4,+25,,Lost in Antalya 2 QF,,no
145,140,140,,no,no,Sofia Costoulas,20,BEL,BEL,519,-5,-26,,Lost in Helsinki R32,,no
146,144,144,,no,no,Emerson Jones,17,AUS,AUS,499,-1,-18,,Lost in Qual. Indian Wells R1,,no
147,134,134,,no,no,Taylah Preston,20,AUS,AUS,497,,+2,,,,no
148,93,93,,no,no,Maria Timofeeva,22,UZB,UZB,494,+8,+18,,Lost in Qual. Indian Wells R2,,no
149,46,46,,no,no,Lucia Bronzetti,27,ITA,ITA,490,-8,-50,,Lost in Antalya 2 R16,,no
150,NCH,150,152,yes,yes,Elvina Kalieva,22,USA,USA,484,+7,+14,,Lost in Qual. Indian Wells R2,,no
151,19,19,,no,no,Varvara Lepchenko,39,USA,USA,478,-1,-15,,Lost in Qual. Indian Wells R1,,no
152,59,59,,no,no,Greet Minnen,28,BEL,BEL,476,+1,-11,,Lost in Trnava 2 R16,,no
153,NCH,153,154,yes,yes,Anouk Koevermans,22,NED,NED,473,+1,-13,,Lost in Trnava 2 QF,,no
154,153,153,,no,no,Polina Iatcenko,22,RUS,RUS,471,+1,-6,,,,no
155,150,150,,no,no,Nuria Brancaccio,25,ITA,ITA,468,,+3,,Lost in Antalya 2 R32,,no
156,54,54,,no,no,Polina Kudermetova,22,UZB,UZB,464,-9,-50,,Lost in Antalya 2 R16,,no
157,105,105,,no,no,Whitney Osuigwe,23,USA,USA,462,-5,-28,,Lost in Qual. Indian Wells R1,,no
158,150,150,,no,no,Iryna Shymanovich,28,BLR,BLR,461,+2,+1,,Lost in Antalya 2 R16,,no
159,143,143,,no,no,Despina Papamichail,33,GRE,GRE,459,,-5,,Lost in Antalya 2 R16,,no
160,46,46,,no,no,Viktoriya Tomova,31,BUL,BUL,457,-9,-33,,Lost in Qual. Indian Wells R1,,no
161,160,160,,no,no,Teodora Kostović,18,SRB,SRB,455,+3,+3,,Qual. Antalya 2 W,,no
162,4,4,,no,no,Bianca Andreescu,25,CAN,CAN,454,+3,+10,,Lost in Indian Wells R128,,no
163,84,84,,no,no,Kayla Day,26,USA,USA,448,+24,+62,Indian Wells R64,,,yes
164,NCH,164,166,yes,yes,Carol Lee,24,USA,USA,440,,+2,,,,no
165,108,108,,no,no,Ekaterine Gorgodze,34,GEO,GEO,439,,+3,,Lost in Antalya 2 R32,,no
166,71,71,,no,no,María Carlé,26,ARG,ARG,436,-5,-21,,Lost in Qual. Indian Wells R1,,no
167,165,165,,no,no,Guiomar Maristany,27,ESP,ESP,434,+4,+11,,Lost in Antalya 2 QF,,no
168,104,104,,no,no,Jessika Ponchet,29,FRA,FRA,431,+1,-7,,,,no
169,25,25,,no,no,Anhelina Kalinina,29,UKR,UKR,424,+20,+39,Antalya 2 SF,,456,yes
170,22,22,,no,no,Irina-Camelia Begu,35,ROU,ROU,420,-7,-35,,,,no
171,97,97,,no,no,Elizabeth Mandlik,24,USA,USA,416,-1,-9,,Lost in Qual. Indian Wells R1,,no
172,CH,172,,yes,no,Laura Samson,17,CZE,CZE,412,,,,Lost in Trnava 2 R32,,no
173,140,140,,no,no,Tatiana Prozorova,22,RUS,RUS,410,+3,+7,,Lost in Trnava 2 R16,,no
174,70,70,,no,no,Harriet Dart,29,GBR,GBR,409,-12,-48,,,,no
175,56,56,,no,no,Nao Hibino,31,JPN,JPN,408,,,,,,no
176,168,168,,no,no,Andrea Lazáro García,31,ESP,ESP,403,,+1,,,,no
177,176,176,,no,no,Mary Stoiana,22,USA,USA,400,+1,+1,,Lost in Qual. Indian Wells R1,,no
178,93,93,,no,no,Julia Riera,23,ARG,ARG,396,+14,+14,,Lost in Antalya 2 R16,,no
179,21,21,,no,no,Jil Teichmann,28,SUI,SUI,394,,-2,,,,no
180,83,83,,no,no,Olivia Gadecki,23,AUS,AUS,394,,,,Lost in Trnava 2 R32,,no
181,121,121,,no,no,Anastasia Gasanova,26,RUS,RUS,393,,,,Lost in Antalya 2 R32,,no
182,23,23,,no,no,Mona Barthel,35,GER,GER,391,+11,+9,Helsinki SF,,404,yes
183,158,158,,no,no,Carole Monnet,24,FRA,FRA,388,,,,Lost in Antalya 2 R32,,no
184,170,170,,no,no,Lina Gjorcheska,31,MKD,MKD,387,,,,,,no
185,177,177,,no,no,Ye-Xin Ma,26,CHN,CHN,386,,+1,,,,no
186,11,11,,no,no,Anastasija Sevastova,35,LAT,LAT,385,,+2,,,,no
187,83,83,,no,no,Anca Todoni,21,ROU,ROU,384,-2,-2,,,,no
188,156,156,,no,no,Hanyu Guo,27,CHN,CHN,383,-21,-56,,,,no
189,182,182,,no,no,Cadence Brace,21,CAN,CAN,383,,+1,,,,no
190,176,176,,no,no,Francisca Jorge,25,POR,POR,383,,+1,,,,no
191,58,58,,no,no,Louisa Chirico,29,USA,USA,382,-17,-27,,Lost in Qual. Indian Wells R1,,no
192,84,84,,no,no,Astra Sharma,30,AUS,AUS,378,,+5,,,,no
193,100,100,,no,no,Mananchaya Sawangkaew,23,THA,THA,377,+9,+18,,Lost in Qual. Indian Wells R2,,no
194,1,1,,no,no,Victoria Azarenka,36,BLR,BLR,375,-21,-35,,,,no
195,182,182,,no,no,Fiona Crawley,24,USA,USA,375,-13,-15,,,,no
196,187,187,,no,no,Yeon Woo Ku,22,KOR,KOR,370,-1,-10,,,,no
197,27,27,,no,no,Bernarda Pera,31,USA,USA,368,-1,-10,,,,no
198,191,191,,no,no,Alice Ramé,28,FRA,FRA,368,,+2,,Lost in Qual. Antalya 2 R1,,no
199,114,114,,no,no,Storm Hunter,31,AUS,AUS,366,+35,+65,Indian Wells R64,,,yes
200,191,191,,no,no,Lisa Pigato,22,ITA,ITA,365,-2,-9,,Qual. Antalya 2 W,,no
201,45,45,,no,no,Anna-Lena Friedsam,32,GER,GER,361,+3,+5,,Lost in Helsinki R16,,no
202,173,173,,no,no,Ana Sofía Sánchez,31,MEX,MEX,356,-3,-17,,Lost in Huamantla QF,,no
203,188,188,,no,no,Kayla Cross,20,CAN,CAN,352,-9,-29,,,,no
204,203,203,,no,no,Veronika Podrez,19,UKR,UKR,349,-1,-10,,Lost in Trnava 2 R16,,no
205,142,142,,no,no,Noma Noha Akugue,22,GER,GER,348,+8,+11,Helsinki SF,,361,yes
206,168,168,,no,no,Elena Pridankina,20,RUS,RUS,346,,,,Lost in Qual. Antalya 2 R2,,no
207,82,82,,no,no,Aoi Ito,21,JPN,JPN,345,-6,-16,,Lost in Monastir 10 R16,,no
208,105,105,,no,no,Marina Bassols Ribera,26,ESP,ESP,344,,+2,,,,no
209,100,100,,no,no,Laura Pigossi,31,BRA,BRA,340,+3,+2,,Lost in Qual. Antalya 2 R2,,no
210,97,97,,no,no,Jana Fett,29,CRO,CRO,338,+1,-2,,,,no
211,121,121,,no,no,Celine Naef,20,SUI,SUI,335,+17,+28,Trnava 2 SF,,355,yes
212,203,203,,no,no,Silvia Ambrosio,29,ITA,ITA,335,-4,-11,,,,no
